abscissa	curvature	dir_mid_line	x_mid_line	y_mid_line	elevation	slope	banking	torsion	upsilon	width_no_kerbs_L	width_no_kerbs_R	width_kerbs_L	width_kerbs_R	width_kerbsMod_and_Constraint_MLT_L	width_kerbsMod_and_Constraint_MLT_R
283.34393037172594632	-0.0087317610962239413513	-4.0492923063759240776	-61.484016847594858746	41.896222271490458411	-0.913343705	-0.000807801495319	0.00060944504664	3.21899965896e-06	-6.08050503099e-06	3.5516758	4.0428789	3.4697417	4.049672	3.4697417	4.049672
284.34514571630194268	-0.012060127909506276195	-4.0595734117636608218	-62.096461381456116158	42.688267067539761968	-0.9133529934	-0.000800958456713	0.000611943294616	2.13776067938e-06	-8.11303376484e-06	3.5508519	4.0246887	3.4573812	4.0456157	3.4573812	4.0456157
285.34636103230951676	-0.016629614198727157154	-4.0739357347835429835	-62.699197567651836493	43.487719341496891445	-0.9133796898	-0.000793007838568	0.000617787080874	7.29601274031e-08	-1.10292926399e-05	3.5603536	3.9880692	3.4583002	4.0369391	3.4583002	4.0369391
286.34757634831703399	-0.021131726665240185836	-4.0928730971910871617	-63.288536331343024699	44.29709066780119997	-0.9134128912	-0.000784643335437	0.000624881041965	-1.90680001154e-06	-1.40235390146e-05	3.5822592	3.9342122	3.4799665	4.0208181	3.4799665	4.0208181
287.34879171804556108	-0.026191847955478138321	-4.1164275874474780537	-63.860557866073271782	45.118782273410523942	-0.9134660672	-0.000775160559469	0.000635627796729	-4.12547200373e-06	-1.74399185007e-05	3.6184938	3.8713164	3.5294202	3.9917142	3.5294202	3.9917142
288.35000703405307831	-0.032892232925768330465	-4.1460055574443579474	-64.410676992937197838	45.955279680902563655	-0.9135267799	-0.000765255849423	0.000647752782352	-7.54914105182e-06	-2.21105042688e-05	3.6705484	3.8070033	3.6099797	3.9440071	3.6099797	3.9440071
289.35122235006070923	-0.039548812977294900417	-4.182292055322400337	-64.932945474589871537	46.809421174781164154	-0.9136100267	-0.000754242655198	0.000663497320339	-1.08401009479e-05	-2.70802859658e-05	3.7408075	3.7462013	3.7250802	3.8714562	3.7250802	3.8714562
290.35243773385280974	-0.046640214504554411423	-4.2253128200104441703	-65.420941747825182233	47.683570523174786615	-0.913701858	-0.000742807181286	0.000680620735417	-1.42385656481e-05	-3.25586957227e-05	3.8314273	3.6923097	3.8753702	3.7680537	3.8753702	3.7680537
291.35365304986038382	-0.055685229571776503898	-4.2765377562747222129	-65.867369670162673856	48.579625725823099458	-0.9138183709	-0.000730297479931	0.000701060442816	-1.89456351758e-05	-3.98496488586e-05	3.94457	3.6484507	4.0420219	3.6413706	4.0420219	3.6413706
292.35486836586795789	-0.064710587461514479379	-4.3368187000808839926	-66.263155459203431974	49.49912672545953285	-0.9139443768	-0.000717374614174	0.000722775647261	-2.34261031714e-05	-4.7590162457e-05	4.0827137	3.6172408	4.1932113	3.5252805	4.1932113	3.5252805
293.35608373076831867	-0.073930205147079111616	-4.4061672122167232502	-66.598543210755764221	50.442283855047584495	-0.9140966648	-0.000703432510994	0.000747249823519	-2.77935201198e-05	-5.60352976246e-05	4.2453477	3.6018003	4.3004718	3.4700685	4.3004718	3.4700685
294.35729904677589275	-0.084014573747351217747	-4.4852356169931422158	-66.863144704986012812	51.407631395454110645	-0.9142591581	-0.000689094640092	0.000772795302663	-3.25146968364e-05	-6.57003542915e-05	4.4264584	3.6056896	4.4199207	3.5216535	4.4199207	3.5216535
295.35851436278346682	-0.094252468344072345974	-4.5744006466569846481	-67.045691602039838131	52.391727238687522572	-0.9144489896	-0.000673799145496	0.000800525898981	-3.69538900616e-05	-7.60785537331e-05	4.6138519	3.636037	4.5609547	3.6262729	4.5609547	3.6262729
296.35972919024487737	-0.10333191203503989952	-4.6735617736356793728	-67.134851971108332691	53.388552837889584168	-0.9146495377	-0.000658128262413	0.000829113061233	-4.05232969903e-05	-8.63963619579e-05	4.7866886	3.6975078	4.7676053	3.7104513	4.7676053	3.7104513
297.3609445062523946	-0.1098081495817309905	-4.7802613488670884223	-67.120859938538103506	54.389195428281325917	-0.9148781864	-0.000641570215096	0.000859314916682	-4.20396943226e-05	-9.50471486792e-05	4.920557	3.7843118	4.9516573	3.8083436	4.9516573	3.8083436
298.36215982225996868	-0.11689882504269849539	-4.8934450349918670042	-66.997168957288138813	55.382202430608948873	-0.9151179551	-0.000624661097441	0.000890155741631	-4.3342298824e-05	-0.000104160352783	4.9971752	3.8819238	5.0460055	3.9347007	5.0460055	3.9347007
299.36337330459167561	-0.12020450728574923194	-5.0125992163101606991	-66.759045250951942307	56.354078824455775987	-0.9153860176	-0.000606944269812	0.00092208145604	-4.28830391546e-05	-0.000111441623847	5.0145305	3.9685365	5.0628443	4.043975	5.0628443	4.043975
300.36458862059919284	-0.12031497956601243382	-5.1330051140102117557	-66.406177638042507283	57.290404660829295835	-0.9156653825	-0.000588904791282	0.000954440544522	-4.00443393408e-05	-0.000115387861749	4.9848876	4.0376995	4.9081809	4.1154205	4.9081809	4.1154205
301.36580393660682375	-0.12095863055520604534	-5.2535216215451177035	-65.943349308632093653	58.177540128339991554	-0.9159729656	-0.000570123331047	0.000987495174886	-3.72200941737e-05	-0.000119417589492	4.922438	4.08878	4.8367054	4.1450282	4.8367054	4.1450282
302.36701815840405061	-0.11833086302189985139	-5.3734965314867713104	-65.377279403400692104	59.002643228227860561	-0.9162919271	-0.000551042684641	0.00102083026569	-3.31840191361e-05	-0.000121234440715	4.8368138	4.1272602	4.8393617	4.1585948	4.8393617	4.1585948
303.36823347441168153	-0.11470984382362775511	-5.4901584676140311458	-64.717662780824085189	59.755106909689914119	-0.9166381618	-0.000531306809088	0.00105440914668	-2.84415193674e-05	-0.000121323634227	4.7368697	4.1586106	4.8004609	4.1677997	4.8004609	4.1677997
304.36944879041919876	-0.11108574078137145591	-5.6031949838377146378	-63.97613591977270886	60.427046712619223001	-0.9169954969	-0.000511304249976	0.00108808725224	-2.38533513891e-05	-0.000121177876332	4.6354223	4.1832176	4.6547501	4.1577094	4.6547501	4.1577094
305.37066410996050081	-0.10748423677314347668	-5.7126122467465672017	-63.164581110323872792	61.01254750393035664	-0.9173792296	-0.000490732258551	0.00112157395847	-1.94502301274e-05	-0.000120779688726	4.5465725	4.1997644	4.4873716	4.1450768	4.4873716	4.1450768
306.37187942596818857	-0.10388513478335881235	-5.8184253466413311529	-62.294805885915046417	61.507510326140781842	-0.9177738067	-0.000469926338178	0.00115498203579	-1.52120301873e-05	-0.000120135632091	4.4791792	4.2066295	4.4102546	4.1568635	4.4102546	4.1568635
307.37309474197576264	-0.10008850488896166298	-5.9206349690635722283	-61.378313582575124485	61.909507301405589885	-0.9181930013	-0.000448653858424	0.00118774542651	-1.11549634099e-05	-0.000119180883928	4.4339539	4.2051043	4.4042385	4.1851996	4.4042385	4.1851996
308.37431017359131147	-0.0983184587819326411	-6.0199427797814912822	-60.426056350717992416	62.217427265137921211	-0.9186224031	-0.000427187927221	0.00122024150815	-7.96169179171e-06	-0.000119953005568	4.4078307	4.1982299	4.3816193	4.200344	4.3816193	4.200344
309.37552548959888554	-0.096618506612321727878	-6.11752970531995377	-59.44813302111555231	62.430271781383687824	-0.9190740281	-0.000405345130933	0.00125155136002	-4.99052836754e-06	-0.00012081339633	4.4000397	4.1877572	4.4523158	4.1968741	4.4523158	4.1968741
310.37674080560651646	-0.094880895670871601144	-6.2134146124406086642	-58.454210497363895627	62.547669967421740012	-0.9195349532	-0.000383344624801	0.00128236480052	-2.10605597786e-06	-0.000121518333876	4.4102511	4.1746875	4.465141	4.1882944	4.465141	4.1882944
311.37795613105834036	-0.093852003540382727964	-6.3078944616615340024	-57.453619611651760124	62.570131700713908174	-0.9200160959	-0.000361066193424	0.00131168949091	4.51652656081e-07	-0.000122806892112	4.4347461	4.1586245	4.4756209	4.1764456	4.4756209	4.1764456
312.37917144706591444	-0.092828509833946082352	-6.4013480881363262753	-56.455327337885954364	62.498610461898785218	-0.9205057773	-0.000338670382175	0.00134038541764	2.93742167822e-06	-0.000124030561004	4.467205	4.1373248	4.5027127	4.1499105	4.5027127	4.1499105
313.38038676260862303	-0.091788183740424411639	-6.4937767941001283134	-55.467973483488563602	62.334747643256022798	-0.9210131774	-0.000316081883692	0.00136731706835	5.36128564497e-06	-0.000125008186307	4.5012111	4.1095684	4.4860595	4.1120757	4.4860595	4.1120757
314.38160207861614026	-0.088515152199087884788	-6.5840380014402404285	-54.499714765835449271	62.081317653825898617	-0.9215281295	-0.000293411256225	0.00139349673258	8.38412765579e-06	-0.000122748977371	4.5311211	4.0751964	4.4691479	4.0761149	4.4691479	4.0761149
315.38281739462377118	-0.085254837798469804144	-6.6710221995623779634	-53.557663364079211021	61.743176624788787876	-0.9220586377	-0.000270632926374	0.00141780324731	1.12380803326e-05	-0.000120156910278	4.549683	4.0370024	4.5150169	4.0403546	4.5150169	4.0403546
316.38403266947011616	-0.081776484999132773024	-6.7547225377672299729	-52.64784331919531013	61.325954281001038737	-0.9225958371	-0.000247808269744	0.00144130405117	1.39816901132e-05	-0.000117061306806	4.5488037	3.9995583	4.5967247	3.9942794	4.5967247	3.9942794
317.38524798547774708	-0.075793355978616153146	-6.8336031638188732273	-51.774987274188752906	60.836020900097011577	-0.9231459005	-0.000224968294371	0.00146298387684	1.71084846736e-05	-0.000109976378312	4.523018	3.9672733	4.6142275	3.9474314	4.6142275	3.9474314
318.38646330148532115	-0.069817782515398524312	-6.9064933895118336693	-50.941754796243188252	60.281302998994952702	-0.9237015478	-0.000202121669653	0.00148387327793	1.99510761215e-05	-0.000102576505126	4.4725971	3.945636	4.5538491	3.9092669	4.5538491	3.9092669
319.38767859879004618	-0.063748555413369073497	-6.9733889762932070866	-50.149269483364001587	59.669726905587168631	-0.9242680439	-0.000179318011367	0.00150292567463	2.25115356079e-05	-9.46912911953e-05	4.4034169	3.939047	4.4993883	3.8717491	4.4993883	3.8717491
320.3888939147976771	-0.057036905551320848939	-7.0338550546525935303	-49.39732305816050939	59.008891648424729226	-0.924839292	-0.000156533173088	0.00152117343306	2.48873984507e-05	-8.55399172942e-05	4.3247598	3.9496004	4.3988509	3.8576907	4.3988509	3.8576907
321.39010923080525117	-0.050312856756643348222	-7.0876013262850960928	-48.684296850319491057	58.306193712571428023	-0.9254186526	-0.000133869383406	0.00153770019211	2.69327184004e-05	-7.60579113235e-05	4.2440455	3.9770188	4.270008	3.9160064	4.270008	3.9160064
322.39132456834795448	-0.043744689014846044328	-7.1346347322910581568	-48.007548077245729701	57.568455029027624903	-0.9260015988	-0.000111259095866	0.00155346628846	2.86486754025e-05	-6.6524927647e-05	4.1657312	4.0164739	4.1743446	4.0133	4.1743446	4.0133
323.39253988435552856	-0.038272349575201668193	-7.1756930505712910318	-47.363848544452224587	56.801681162217853682	-0.9265904187	-8.88251037648e-05	0.0015676355264	2.99438360858e-05	-5.84640752703e-05	4.0927227	4.0605374	4.0754948	4.1031722	4.0754948	4.1031722
324.39375520036315947	-0.032792713013128645116	-7.2112723787376955542	-46.749985475963164561	56.010796557774860105	-0.9271818581	-6.6469736499e-05	0.00158109259203	3.09827551831e-05	-5.02255353295e-05	4.0277016	4.1027756	3.9886572	4.1877384	3.9886572	4.1877384
325.39497052472114547	-0.027432086535030767577	-7.2413766691300667233	-46.162412513761687194	55.200170640410412659	-0.9277763765	-4.43650371269e-05	0.00159312573019	3.17464766117e-05	-4.1969816624e-05	3.9718166	4.1424513	3.9204565	4.2575903	3.9204565	4.2575903
326.39618584072871954	-0.023340927964392899768	-7.2667939996431192284	-45.597466852206260057	54.373602725087792464	-0.9283722804	-2.23731383069e-05	0.00160451810101	3.22332620283e-05	-3.56205678927e-05	3.9241631	4.1796823	3.8120578	4.2989358	3.8120578	4.2989358
327.39740115673629361	-0.019248306726992837207	-7.2881151995245563313	-45.051985622886455474	53.534052643346107914	-0.9289688205	-6.89473296013e-07	0.00161467621842	3.25127419634e-05	-2.91578291706e-05	3.8840171	4.212962	3.7610393	4.3124314	3.7610393	4.3124314
328.39861647373385267	-0.015198501478494243905	-7.3053410303124115543	-44.522781987442371587	52.684140406346621432	-0.9295656493	2.08542415453e-05	0.00162427393666	3.26037808562e-05	-2.26698543573e-05	3.8503123	4.2400642	3.8462592	4.3081601	3.8462592	4.3081601
329.39983178974148359	-0.012153798853574036484	-7.3190337794716100461	-44.006703160346219761	51.826189896054863482	-0.9301603535	4.20258004548e-05	0.00163274291247	3.25379553142e-05	-1.77394250864e-05	3.8215628	4.2588189	3.8443687	4.2944205	3.8443687	4.2944205
330.40104710574900082	-0.0091090330850388066125	-7.3296781257295817724	-43.501100732460322718	50.962020458840164849	-0.9307540843	6.30268745241e-05	0.00164069481074	3.23322823664e-05	-1.2754744712e-05	3.7971717	4.2675498	3.76723	4.2740844	3.76723	4.2740844
331.40226242177561744	-0.0060718841636341327681	-7.337274101022571493	-43.003399419631911371	50.09327384482706691	-0.9313427761	8.35954095008e-05	0.00164767876612	3.1974720386e-05	-7.73355078849e-06	3.7767464	4.2644144	3.6907116	4.2493376	3.6907116	4.2493376
332.40347773778324836	-0.0039082124774075270232	-7.3422701983006639637	-42.511112847921161517	49.221445909596582169	-0.9319291389	0.000103964031452	0.00165421535294	3.15722547119e-05	-4.11611242206e-06	3.7600708	4.2476565	3.6639493	4.2222021	3.6639493	4.2222021
333.40469305379076559	-0.001518062908162175163	-7.3450999927223126207	-42.022241107070598787	48.347697745342642861	-0.932508167	0.00012385027863	0.00165985783695	3.10592225684e-05	-4.74987755058e-07	3.7478242	4.2183814	3.6725646	4.1930593	3.6725646	4.1930593
335.40712367653816273	0.0016768356098280391957	-7.3447106763797913587	-41.047314222135781847	46.598627794632740517	-0.9336494704	0.000162628860804	0.0016694898983	2.98830442534e-05	5.35099065598e-06	3.7397577	4.1330984	3.7051273	4.1270343	3.7051273	4.1270343
336.4083389925457368	0.0029273993719700730325	-7.3424057521020715811	-40.558265006054810442	45.724978822060570849	-0.9342105027	0.000181490186661	0.00167351107486	2.92596614315e-05	7.5091816429e-06	3.7447329	4.0821249	3.7120108	4.0883819	3.7120108	4.0883819
337.40955430855331088	0.0041892310237848810403	-7.3388487441511260911	-40.066657409096862352	44.852767253393835745	-0.9347589736	0.000199762497878	0.00167675957157	2.85699806941e-05	9.66631852695e-06	3.755688	4.0286757	3.7212605	4.0447157	3.7212605	4.0447157
338.41076962453576016	0.0045043632919427711164	-7.334496591491116213	-39.571536653860150068	43.982545463084463222	-0.9353014831	0.000217755276725	0.00167964137276	2.802711417e-05	1.02735850227e-05	3.772178	3.9765211	3.7390823	3.9995334	3.7390823	3.9995334
339.41198494054333423	0.0048192121194303577658	-7.329829135977742105	-39.072496445506629925	43.114565532744002496	-0.9358289478	0.000235110729521	0.00168181459783	2.74561497458e-05	1.08511915871e-05	3.7921676	3.929454	3.7648878	3.9576295	3.7648878	3.9576295
340.41320025655090831	0.0051411363778410398492	-7.3248464489448341652	-38.569274061327739389	42.249003711167880226	-0.9363492097	0.000252161060213	0.00168364858958	2.68652202799e-05	1.14242641282e-05	3.8132538	3.8908323	3.7962392	3.9232506	3.7962392	3.9232506
341.41441557254466943	0.0046894532176555087447	-7.3199251501278661536	-38.061716404503975753	41.385976880443081427	-0.9368521054	0.000268523044233	0.00168474672201	2.64478090002e-05	1.07055589076e-05	3.8340977	3.8613225	3.8294323	3.8958447	3.8294323	3.8958447
342.4156308885522435	0.0042376350687158724148	-7.3154561846149457338	-37.550112226834961859	40.52534245993470563	-0.9373466141	0.0002845525881	0.00168548946784	2.60370954909e-05	9.96766079818e-06	3.8545974	3.8391062	3.8601079	3.8708342	3.8601079	3.8708342
343.41684620455987442	0.0037869154829731277098	-7.3114395863449557211	-37.034861098319282746	39.666886266762439561	-0.9378215164	0.000299854880166	0.00168551771724	2.56164252771e-05	9.21624331577e-06	3.8747532	3.822148	3.884213	3.8435052	3.884213	3.8435052
344.41806152056688006	0.0030093832916442816647	-7.3080373108457719056	-36.516405757933981135	38.810361193445082506	-0.938286867	0.000314802870073	0.00168519787865	2.52997051366e-05	7.91165688202e-06	3.8943529	3.8084059	3.9027184	3.8123006	3.9027184	3.8123006
345.41927683657445414	0.0022318423671783939669	-7.3054135181135748667	-35.995371932908525991	37.955401962687332684	-0.9387302888	0.000328980539449	0.00168410393811	2.49773582985e-05	6.59307176151e-06	3.9131622	3.7956618	3.9210216	3.7794761	3.9210216	3.7794761
346.42049215258219874	0.0014548600735670572711	-7.3035682094055998093	-35.472428884986243247	37.101609018033627763	-0.9391629342	0.000342779651307	0.00168262958176	2.46622211714e-05	5.27121763345e-06	3.9309618	3.7816804	3.9445183	3.7474264	3.9445183	3.7474264
349.42413810060691048	-0.00011527560630002951997	-7.3015601504875684569	-33.897826749325822959	34.543775211024218663	-0.9403390637	0.000380123345743	0.00167354317507	2.33449528199e-05	2.53833462389e-06	3.9735727	3.7290223	4.0403453	3.6733264	4.0403453	3.6733264
