s	time	x	y	Vx	Vy	yaw_rate	ax	ay	delta	throttle	brake
242.994660977	11.469627335	-42.0766062804	9.2609950212	10.6159929851	-0.0488318100026	0.903904608964	3.39966745558	9.60175687754	0.0933406495702	0.289637914059	-1.01748136244e-31
244.542397672	11.5669429913	-42.1834615809	10.4908767851	10.9901887859	-0.0485901942616	0.806474356539	4.35349046215	8.87366403923	0.082204869609	0.363106822488	-2.71489125385e-48
246.090134366	11.6683562669	-42.4029595776	11.7258942323	11.4627284836	-0.048517762004	0.729839478418	5.04027896857	8.34611939493	0.0729912083461	0.431695146783	-3.92316302789e-67
247.63787106	11.7739395608	-42.7153552516	12.9661208874	12.0204775644	-0.0576034031014	0.657457347325	5.59527300564	7.7436555174	0.0630557060121	0.495806689852	-1.10405685598e-87
249.185607754	11.8820273114	-43.1080414124	14.2164847132	12.6458557331	-0.0769628743488	0.585456970135	6.05506493795	7.19746505008	0.0528742314538	0.559167008084	-8.74682671422e-111
250.733344448	11.9906744647	-43.5753674127	15.4803756703	13.3207236596	-0.0993124808493	0.515992687167	6.45936358466	6.66679296171	0.0436225009702	0.625428864875	-6.52296011045e-138
252.281081142	12.0981289038	-44.1131758028	16.7576900408	14.0275770747	-0.120144346362	0.456337987366	6.79778457658	6.22094380605	0.0360971610627	0.690810537371	-1.18242617912e-167
253.828817836	12.2030981321	-44.7171198916	18.0423286908	14.7497479976	-0.139344310288	0.409282190792	7.06929484638	5.8547932417	0.0302876355002	0.755632322194	-4.66569673098e-200
255.37655453	12.3047865805	-45.3819594466	19.3292025632	15.4733546957	-0.158214761335	0.375045793524	7.27562465373	5.61690840611	0.0260604618625	0.816441777323	-4.27119697655e-233
256.924291225	12.4027858531	-46.1027458516	20.6121550639	16.1868559312	-0.177931777914	0.353493053934	7.40619978665	5.50720783138	0.0232048587638	0.872116296808	-1.38279543405e-265
258.472027919	12.4970063205	-46.8745544321	21.8869775812	16.8817115001	-0.200309997748	0.343942157803	7.47435474899	5.54409447307	0.021499811453	0.92080579066	-9.35510577909e-296
260.019764613	12.5875614529	-47.6934315233	23.1489925824	17.5509239191	-0.227185169925	0.348383469686	7.45393483868	5.77586938245	0.0211902308131	0.959579617613	-5.934e-321
261.567501307	12.6747141465	-48.5558208346	24.3940799294	18.1873347735	-0.26238172092	0.372522305951	7.32710712491	6.28771363555	0.022713700476	0.983170999026	-0.0
263.115238001	12.7588293154	-49.4593475295	25.616767309	18.7817553415	-0.313940001273	0.416618364571	7.0328868245	7.05350317732	0.0254263673736	0.982379242773	-0.0
264.662974695	12.8403439605	-50.4019047663	26.8113238076	19.3226199975	-0.387802128786	0.465081931874	6.53999906613	7.9130678543	0.0271693553727	0.945695756316	-8.23053444263e-312
266.210711389	12.9197396216	-51.3819700293	27.9717453451	19.7973102995	-0.470328267396	0.485207952777	5.7915002534	8.59907840374	0.0252230892385	0.865115922631	-2.20648854951e-261
267.758448083	12.9975085368	-52.3974805782	29.0945393632	20.1945815213	-0.512879488291	0.427352680119	4.77945449309	8.55711153396	0.0166496350785	0.740848042214	-2.06593387706e-192
269.306184778	13.0740771865	-53.448153582	30.1857631141	20.509521763	-0.443650936376	0.192096689462	3.53438511335	5.47352464127	-0.00632512494825	0.580759390951	-2.72478607423e-119
270.853921472	13.1497239091	-54.533895043	31.2758161666	20.7306171029	-0.256003799458	-0.300561164335	1.92935630945	-3.17872674725	-0.0432985119131	0.398672645752	-1.17567629155e-57
272.401658166	13.2245872217	-55.640798964	32.41077836	20.826406631	-0.0114007237111	-0.705849065135	0.410331645829	-10.508634268	-0.0703025901631	0.206673389626	5.6449863562200005e-18
273.94939486	13.2989826924	-56.7337571182	33.6143124495	20.7895307342	0.285778974567	-0.848326293234	-1.09510458187	-13.3571930662	-0.0708335092691	0.0142086931871	-0.00668541701135
275.497131554	13.3735629526	-57.7782104578	34.8778589938	20.5814408085	0.573684874697	-0.817440616184	-3.70497522355	-12.9568326655	-0.0502658804342	5.29209725726e-17	-0.189798018009
277.044868248	13.4492835744	-58.7563690078	36.1787269812	20.1608166841	0.804824393538	-0.654474560034	-6.33077335044	-10.8191387953	-0.0216812557398	3.26023219388e-48	-0.362789941285
278.592604942	13.5271899319	-59.6652929626	37.494488897	19.5581539285	0.90121630983	-0.459331943571	-8.11005243326	-8.86043526578	-0.000224366238988	2.95582123336e-87	-0.494557131456
280.140341636	13.608248543	-60.5128121339	38.8172887197	18.8171371668	0.845690752635	-0.319943935947	-9.42185360417	-7.52001260173	0.00686508985666	1.00133534161e-116	-0.574333433021
281.688078331	13.6933353577	-61.3069175813	40.1493510278	17.9781891597	0.698465265984	-0.272529704255	-9.79782617916	-6.84953645081	0.00251680726097	2.71302689161e-129	-0.605162823338
283.235815025	13.7832245123	-62.0523989896	41.4965890821	17.0714977992	0.554167076653	-0.290505867272	-10.0172709816	-6.20451633003	-0.0033976849908	7.77379804694e-133	-0.613574154956
284.783551719	13.8785961227	-62.7493340957	42.8584287215	16.1081120754	0.45928725193	-0.296976068942	-9.87205970448	-5.50114374083	-0.00434794705292	4.08321034029e-132	-0.611873228262
286.331288413	13.9800506538	-63.3952263587	44.2348393688	15.1080911307	0.374973447642	-0.357732328891	-9.57207863074	-6.32533192204	-0.0191940684971	6.67674298615e-120	-0.582278915191
287.879025107	14.0880061801	-63.9722265651	45.6254160737	14.1399812424	0.334397043575	-0.657756169729	-8.0173637469	-9.01602692905	-0.0590682557767	2.40198532826e-79	-0.470849630302
289.426761801	14.2020627202	-64.4389806388	47.0081761448	13.3462795945	0.511418347374	-1.07886102313	-4.99866345733	-11.8857556407	-0.0830028285184	2.6542165567800004e-26	-0.261185115739
290.974498495	14.3202277503	-64.7578699801	48.3371222229	12.8078480483	0.880671238674	-1.31988039078	-2.42009092273	-13.1159889091	-0.0635556568907	9.39108383719e-09	-0.115920201602
